iter	Logloss
0	0.6650969002
1	0.6369839225
2	0.6083717924
3	0.5802596673
4	0.5559220586
5	0.5314712613
6	0.5079105542
7	0.4901291799
8	0.4699016389
9	0.4535770794
10	0.436401758
11	0.4172814828
12	0.4032329875
13	0.3879637535
14	0.3730481895
15	0.3621694722
16	0.349432167
17	0.3390480903
18	0.3289873081
19	0.3192141869
20	0.308748434
21	0.2996837896
22	0.291053248
23	0.2829501382
24	0.2748481653
25	0.2668482966
26	0.2599516081
27	0.2543476535
28	0.2479314482
29	0.2424713419
30	0.2376160805
31	0.2327091275
32	0.2279276909
33	0.2230589293
34	0.2187679411
35	0.2145893243
36	0.2102874649
37	0.2061701321
38	0.2027960923
39	0.1997230006
40	0.1964865919
41	0.1932413192
42	0.1904025094
43	0.1879623822
44	0.1854068281
45	0.1827917665
46	0.1805099114
47	0.1782605989
48	0.1763502838
49	0.1746754763
50	0.1732743677
51	0.1719410444
52	0.170342442
53	0.1687287763
54	0.1670939364
55	0.1654251685
56	0.1639099121
57	0.1625179517
58	0.1615951236
59	0.1605479515
60	0.1593138014
61	0.15849274
62	0.1575332482
63	0.1562841413
64	0.1551986712
65	0.1541992116
66	0.1533241494
67	0.1525015426
68	0.1517761373
69	0.1508942183
70	0.1501543358
71	0.1494876564
72	0.148876994
73	0.1481739439
74	0.1473859847
75	0.1469677802
76	0.146258433
77	0.145755488
78	0.1452339537
79	0.1446647511
80	0.1440813378
81	0.143613147
82	0.1430309593
83	0.1426623237
84	0.142104019
85	0.1415822181
86	0.1411441541
87	0.1405506778
88	0.1401406089
89	0.1397223334
90	0.1393887805
91	0.1390978688
92	0.1387039114
93	0.1382836641
94	0.1379589041
95	0.1375163104
96	0.1371571338
97	0.136940038
98	0.1366565957
99	0.136342254
100	0.1360615385
101	0.135785699
102	0.1355303941
103	0.1352780823
104	0.1350541209
105	0.1348013384
106	0.134578203
107	0.134314416
108	0.1340128462
109	0.1337563423
110	0.1335782994
111	0.1334090671
112	0.1331587981
113	0.1329725308
114	0.1327592275
115	0.1325104683
116	0.1323578272
117	0.1321997504
118	0.1319568088
119	0.1317930477
120	0.1316177848
121	0.1314261529
122	0.1312382957
123	0.1310918095
124	0.1308931433
125	0.1307601929
126	0.1305425464
127	0.1303406295
128	0.1301681998
129	0.129996232
130	0.1297824935
131	0.1296323836
132	0.1294911288
133	0.1293324747
134	0.1291670883
135	0.1290231512
136	0.1288700304
137	0.1287131792
138	0.1285556798
139	0.1283480341
140	0.1282441358
141	0.128127208
142	0.1279997376
143	0.1278584384
144	0.1277246886
145	0.1275801564
146	0.1274745439
147	0.1273080117
148	0.127168631
149	0.1271510274
150	0.1270199155
151	0.1269280963
152	0.1268188157
153	0.1266504361
154	0.1265582439
155	0.1264427638
156	0.1263110835
157	0.1261838085
158	0.1260026303
159	0.1258843348
160	0.1258064243
161	0.1257142676
162	0.1255833334
163	0.1255151484
164	0.1253807059
165	0.1252361116
166	0.1250958071
167	0.1249776181
168	0.1248680887
169	0.1247600427
170	0.1246511439
171	0.1245670163
172	0.1244912908
173	0.1243822056
174	0.1242881127
175	0.1241539454
176	0.1240161811
177	0.123897104
178	0.1238032242
179	0.1237103303
180	0.123668009
181	0.1235798135
182	0.1234811199
183	0.1234091425
184	0.1233308412
185	0.1232077407
186	0.1231339513
187	0.1230735468
188	0.1229921103
189	0.1229344502
190	0.1228685479
191	0.1227683799
192	0.1227064033
